EventsPK	IncidentID	Event_Year	Event_Month	Event_Day	Event_Hour	Event_Minute	EventBegin_Year	EventBegin_Month	EventBegin_Day	EventBegin_Hour	EventBegin_Minute	EventEnd_Year	EventEnd_Month	EventEnd_Day	EventEnd_Hour	EventEnd_Minute	IncidentDescription	IncidentDescriptionTracking	Location_Country	Location_Province	Location_City	Leftist_Organization	Rightist_Organization	Religious_Organization	Ethnic_Organization	Separatist_Organization	Environmentalist_Organization	Supremacist_Organization	Anarchist_Organization	Antiglobalization_Organization	Vigilante_Organization	Criminal_Organization	NoPerpetrators	Emigre	Perpetrators_Primary	Perpetrators_Secondary	EventTypeID	WeaponTypeID1	WeaponTypeID2	WeaponSubTypeID1	WeaponSubTypeID2	TargetID1	TargetID2	TargetID3	TargetSubTypeID1	TargetSubTypeID2	TargetSubTypeID3	CanadianTarget	SuicideAttack	Fatalities	Injuries	PerpetratorFatalities	PerpetratorInjuries	IncidentSuccessful	Hoax	CanadianVictim	CanadianPerpetrator	ViolentExtremism	DoubtTerror	Alternative	Latitude	Longitude	OriginalSource	Reference1	Reference2	Reference3	Reference4	Reference5	Reference6	Reference7
13113	19601009111014001	1960	10	9													10/09/1960: Six Hungarian immigrants were freed on bail pending trial 10/12/ on charges arising from an anti-Semitic demonstration (shouting anti-Semitic remarks) and assault Saturday night (or Sunday) outside a downtown café in Montreal. They denied it in court and pleaded not guilty.	0	Canada	Quebec	Montreal	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	6	0			Unarmed Assault	Unknown				Private Citizens & Property			Unnamed Civilians/Unspecified			Yes	No	0	-88	0	-88	Yes	No	-99	-99		No				"New York Post, 12 Oct 1960; ""Six Hungarians Deny Starting Street Brawl"", The Gazette,  12 Oct 1960, 29; ""Hungarians Face Trial for Assault"", Montreal Star, 12 Oct 1960, 13"	RWVIC p. 2							
13114	19601127020706001	1960	11	27													"11/27/1960: A temporary meeting hall used by the Sons of Freedom, and owned by the B.C. Land Settlement Board, was burned to the ground. Damage to the structure was valued at $200."	0	Canada	British Columbia	Krestova	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0			Facility/Infrastructure Attack	Incendiary		Arson/Fire		Government			Government Buildings/Facilities			Yes	No	0	0	0	0	Yes	No	-99	-99		No				CP Chronology	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 197."							
13115	19601225020714001	1960	12	25													"12/25/1960: Sons of Freedom torched homes in Wynndel, B.C."	0	Canada	British Columbia	Wynndel	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Sons of Freedom (SOF)		Facility/Infrastructure Attack	Incendiary		Arson/Fire		Private Citizens & Property			Houses/Apartments/Residence			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Holt, 176; Cran Chronology; The Province, 29 Jan 1962, 12"	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 3"							
13116	19610000020319001	1961	0	0													00/00/1961: A Sons of Freedom (SOF) bomb exploded on Canadian Pacific Railway tracks. It blew out two sections of track and the windows of nearby homes.	0	Canada	British Columbia	Unknown	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Sons of Freedom (SOF)		Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Transportation (Other than aviation)			Train/Train Tracks/ Trolley			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"The Province, 26 Jan 1983, 29"	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 12"							
13117	19610101020706001	1961	1	1													"01/01/1961: Three Sons of Freedom (SOF) set fire to a British Columbia Land Settlement Board property occupied by them at the time, causing damage of $2,200. They were convicted and sentenced to jail terms ranging from nine months to three years. The sentencing judge emphasized the need to protect ""members of other [i.e. non-Freedomite] sects from criminal acts under the disguise of religion."" The convictions started a brief spate of SOF violence in early May."	0	Canada	British Columbia	Grand Forks	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	3	0	Sons of Freedom (SOF)		Facility/Infrastructure Attack	Incendiary		Arson/Fire		Government			Government Buildings/Facilities			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"CP Chronology; Financial Post, 31 Mar 1962; The Province, 6 May 1961, 32"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 197."							
13118	19610220020306001	1961	2	20													"02/20/1961: A time bomb blew up road construction equipment at the Winlaw yard of the British Columbia Department of Public Works. A truck and road grader were dynamited, causing $4,000 damage. A pocket watch was used as a timing device. Two Sons of Freedom (SOF) were convicted and each sentenced to 12 years in B.C. provincial jails."	0	Canada	British Columbia	Winlaw	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	2	0	Sons of Freedom (SOF)		Bombing/Explosion	Explosives/Bombs/Dynamite		Time Fuse		Government			Government Buildings/Facilities	Construction		Yes	No	0	0	0	0	Yes	No	-99	-99		No				"CP Chronology; Holt, 1964: 207-8~ 233n; Financial Post, 31 Mar 1962; WM N03 65, 10-13; Vancouver Sun, 14 Feb 1962, 1; Vancouver Sun, 13 Dec 1961, 30; Vancouver Sun, 8 June 1962, 20"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 198."							
13119	19610220020319001	1961	2	20													"02/20/1961: A dynamite blast shattered several ties and damaged a rail on a spur line of the Canadian Pacific Railway near Brilliant. The small charge was placed under a ""frog"" (a grooved piece of iron at a place where tracks cross) on the line. A watch was used as a timing device. A train was due to pass over the switch shortly afterwards, but was stopped in time. Damage was estimated at $445. The dynamiting was thought to have been timed to coincide with the preliminary hearing in Grand Forks of arson charges against three members of the Sons of Freedom sect (SOF). Two SOF members were convicted for this attack."	0	Canada	British Columbia	Brilliant	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	2	0	Sons of Freedom (SOF)		Bombing/Explosion	Explosives/Bombs/Dynamite		Time Fuse		Transportation (Other than aviation)			Train/Train Tracks/ Trolley			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Financial Post, 31 Mar 62; Vancouver Sun, 21 Feb 1961, 3; Vancouver Sun, 27 Jan 1962, 6C; CP Chronology; Holt, 1964: 233"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 198."							
13120	19610324020319001	1961	3	24													"03/24/1960: An unexploded bomb that had been placed alongside the Canadian Pacific Railway tracks near Midway was discovered and removed without incident. The bomb comprised seven sticks of 40 percent forcite and one fuse-style blasting cap; had the charge been exploded, considerable damage to the tracks would have resulted."	0	Canada	British Columbia	Midway	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0			Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Transportation (Other than aviation)			Train/Train Tracks/ Trolley			Yes	No	0	0	0	0	No	No	-99	-99		No				"CP Chronology; Financial Post, 31 Mar 1962; The Province, 21 Apr 1962, 11-A"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 198."							
13121	19610402090802001	1961	4	2													"04/02/1961: A Jewish merchant's store in Oakville, Ontario was vandalized and robbed. A $7,000 stock of records was destroyed and anti-Semitic slogans were painted on the inside walls. Thieves stole $1,400 worth of cigarettes, television tubes, and diamond record needles. According to the Globe and Mail they caused $25,000 damage to the store. The Toronto Telegram reported a damage estimate of $10,000. The report also mentions swastikas painted on a McMaster University professor's home."	0	Canada	Ontario	Oakville	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0			Theft	Sabotage Equipment				Business			Retail/Grocery/Bakery (including cell phone shops and generic shops)			Yes	No	0	0	0	0	Yes	No	-99	-99	1	-88				"""Anti Jewish Outbursts in Oakville, Ancaster"", Toronto Star, 3 Apr 1961; ""Anti-Semitic Attack Ruins Oakville store"", Globe and Mail, 5 Apr 1961, 5; ""Swastika daubers wreck and threaten"", The Telegram, 4 Apr 1961, 1-2"	RWVIC p. 4							
13122	19610403020319001	1961	4	3													"04/03/1961: An explosion on the Canadian Pacific Railway tracks just outside the town lifted but did not break a rail. The bomb used had the fuse style characterising Sons of Freedom (SOF) devices (tightly bound cloth shards), and caused minimal damage, estimated at about $10."	0	Canada	British Columbia	Grand Forks	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Sons of Freedom (SOF)		Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Transportation (Other than aviation)			Train/Train Tracks/ Trolley			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Ross/Cran; CP Chronology; Financial Post, 31 Mar 1962"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 199."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 3"						
13126	19610414020321001	1961	4	14													"04/14/1961: Two hydro poles owned by the Consolidated Mining and Smelting Co. (Cominco) were blown over by two separate explosive charges simultaneously detonated by a single timing device; the explosions caused approximately $800 damage. Cominco was controlled by the Canadian Pacific Railway, which was a common Sons of Freedom (SOF) target. Four male SOF members were convicted, receiving sentences of eight to ten years each."	0	Canada	British Columbia	Castlegar	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	4	0	Sons of Freedom (SOF)		Bombing/Explosion	Explosives/Bombs/Dynamite		Time Fuse		Utilities			Electrical transformers/substations/ power lines			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Ross/Cran; CP Chronology; Financial Post, 31 Mar 1962; Vancouver Sun, 15 Apr 1961, 1; The Province, 15 Apr 1961, 1, 6; Vancouver Sun, 20 Dec 1961, 18"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 200."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 3"						
13125	19610414020319001	1961	4	14													"04/14/1961: Sons of Freedom (SOF) bombed railway track near Castlegar, British Columbia. It ripped out 30 feet of track and blasted two power poles. No one claimed responsibility for the attack."	0	Canada	British Columbia	Castlegar	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Sons of Freedom (SOF)		Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Transportation (Other than aviation)	Utilities		Train/Train Tracks/ Trolley	Electrical transformers/substations/ power lines		Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Vancouver Sun, 15 Apr 1961, 1; The Province, 15 Apr 1961, 1, 6"	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 3"							
